idx,x,y,z,reachable
1,0.35,-0.7,0.95,0
2,0.35,-0.7,1.0,0
3,0.35,-0.7,1.05,0
4,0.35,-0.7,1.1,0
5,0.35,-0.7,1.15,0
6,0.35,-0.7,1.2,0
7,0.35,-0.7,1.25,0
8,0.35,-0.6,0.95,0
9,0.35,-0.6,1.0,0
10,0.35,-0.6,1.05,0
11,0.35,-0.6,1.1,0
12,0.35,-0.6,1.15,0
13,0.35,-0.6,1.2,0
14,0.35,-0.6,1.25,0
15,0.35,-0.5,0.95,0
16,0.35,-0.5,1.0,0
17,0.35,-0.5,1.05,0
18,0.35,-0.5,1.1,0
19,0.35,-0.5,1.15,0
20,0.35,-0.5,1.2,0
21,0.35,-0.5,1.25,0
22,0.35,-0.4,0.95,0
23,0.35,-0.4,1.0,0
24,0.35,-0.4,1.05,0
25,0.35,-0.4,1.1,0
26,0.35,-0.4,1.15,0
27,0.35,-0.4,1.2,0
28,0.35,-0.4,1.25,0
29,0.35,-0.3,0.95,0
30,0.35,-0.3,1.0,0
31,0.35,-0.3,1.05,0
32,0.35,-0.3,1.1,0
33,0.35,-0.3,1.15,0
34,0.35,-0.3,1.2,0
35,0.35,-0.3,1.25,0
36,0.35,-0.2,0.95,0
37,0.35,-0.2,1.0,0
38,0.35,-0.2,1.05,0
39,0.35,-0.2,1.1,0
40,0.35,-0.2,1.15,0
41,0.35,-0.2,1.2,0
42,0.35,-0.2,1.25,0
43,0.35,-0.1,0.95,0
44,0.35,-0.1,1.0,0
45,0.35,-0.1,1.05,0
46,0.35,-0.1,1.1,0
47,0.35,-0.1,1.15,0
48,0.35,-0.1,1.2,0
49,0.35,-0.1,1.25,0
50,0.35,0.05,0.95,0
51,0.35,0.05,1.0,0
52,0.35,0.05,1.05,0
53,0.35,0.05,1.1,0
54,0.35,0.05,1.15,0
55,0.35,0.05,1.2,0
56,0.35,0.05,1.25,0
57,0.4,-0.7,0.95,0
58,0.4,-0.7,1.0,0
59,0.4,-0.7,1.05,0
60,0.4,-0.7,1.1,0
61,0.4,-0.7,1.15,0
62,0.4,-0.7,1.2,0
63,0.4,-0.7,1.25,0
64,0.4,-0.6,0.95,0
65,0.4,-0.6,1.0,0
66,0.4,-0.6,1.05,0
67,0.4,-0.6,1.1,0
68,0.4,-0.6,1.15,0
69,0.4,-0.6,1.2,0
70,0.4,-0.6,1.25,0
71,0.4,-0.5,0.95,skip
72,0.4,-0.5,1.0,skip
73,0.4,-0.5,1.05,skip
74,0.4,-0.5,1.1,0
75,0.4,-0.5,1.15,0
76,0.4,-0.5,1.2,0
77,0.4,-0.5,1.25,0
78,0.4,-0.4,0.95,skip
79,0.4,-0.4,1.0,skip
80,0.4,-0.4,1.05,skip
81,0.4,-0.4,1.1,skip
82,0.4,-0.4,1.15,0
83,0.4,-0.4,1.2,0
84,0.4,-0.4,1.25,0
85,0.4,-0.3,0.95,0
86,0.4,-0.3,1.0,skip
87,0.4,-0.3,1.05,0
88,0.4,-0.3,1.1,0
89,0.4,-0.3,1.15,0
90,0.4,-0.3,1.2,0
91,0.4,-0.3,1.25,0
92,0.4,-0.2,0.95,0
93,0.4,-0.2,1.0,0
94,0.4,-0.2,1.05,0
95,0.4,-0.2,1.1,0
96,0.4,-0.2,1.15,0
97,0.4,-0.2,1.2,0
98,0.4,-0.2,1.25,0
99,0.4,-0.1,0.95,0
100,0.4,-0.1,1.0,0
101,0.4,-0.1,1.05,0
102,0.4,-0.1,1.1,0
103,0.4,-0.1,1.15,0
104,0.4,-0.1,1.2,0
105,0.4,-0.1,1.25,0
106,0.4,0.05,0.95,0
107,0.4,0.05,1.0,0
108,0.4,0.05,1.05,0
109,0.4,0.05,1.1,0
110,0.4,0.05,1.15,0
111,0.4,0.05,1.2,0
112,0.4,0.05,1.25,0
113,0.45,-0.7,0.95,0
114,0.45,-0.7,1.0,0
115,0.45,-0.7,1.05,0
116,0.45,-0.7,1.1,0
117,0.45,-0.7,1.15,0
118,0.45,-0.7,1.2,0
119,0.45,-0.7,1.25,0
120,0.45,-0.6,0.95,0
121,0.45,-0.6,1.0,0
122,0.45,-0.6,1.05,0
123,0.45,-0.6,1.1,0
124,0.45,-0.6,1.15,0
125,0.45,-0.6,1.2,0
126,0.45,-0.6,1.25,0
127,0.45,-0.5,0.95,skip
128,0.45,-0.5,1.0,skip
129,0.45,-0.5,1.05,skip
130,0.45,-0.5,1.1,0
131,0.45,-0.5,1.15,0
132,0.45,-0.5,1.2,0
133,0.45,-0.5,1.25,0
134,0.45,-0.4,0.95,skip
135,0.45,-0.4,1.0,skip
136,0.45,-0.4,1.05,skip
137,0.45,-0.4,1.1,skip
138,0.45,-0.4,1.15,0
139,0.45,-0.4,1.2,0
140,0.45,-0.4,1.25,0
141,0.45,-0.3,0.95,skip
142,0.45,-0.3,1.0,skip
143,0.45,-0.3,1.05,skip
144,0.45,-0.3,1.1,0
145,0.45,-0.3,1.15,0
146,0.45,-0.3,1.2,0
147,0.45,-0.3,1.25,0
148,0.45,-0.2,0.95,0
149,0.45,-0.2,1.0,0
150,0.45,-0.2,1.05,0
151,0.45,-0.2,1.1,0
152,0.45,-0.2,1.15,0
153,0.45,-0.2,1.2,0
154,0.45,-0.2,1.25,0
155,0.45,-0.1,0.95,0
156,0.45,-0.1,1.0,0
157,0.45,-0.1,1.05,0
158,0.45,-0.1,1.1,0
159,0.45,-0.1,1.15,0
160,0.45,-0.1,1.2,0
161,0.45,-0.1,1.25,0
162,0.45,0.05,0.95,0
163,0.45,0.05,1.0,0
164,0.45,0.05,1.05,0
165,0.45,0.05,1.1,0
166,0.45,0.05,1.15,0
167,0.45,0.05,1.2,0
168,0.45,0.05,1.25,0
169,0.5,-0.7,0.95,0
170,0.5,-0.7,1.0,0
171,0.5,-0.7,1.05,0
172,0.5,-0.7,1.1,0
173,0.5,-0.7,1.15,0
174,0.5,-0.7,1.2,0
175,0.5,-0.7,1.25,0
176,0.5,-0.6,0.95,0
177,0.5,-0.6,1.0,0
178,0.5,-0.6,1.05,0
179,0.5,-0.6,1.1,0
180,0.5,-0.6,1.15,0
181,0.5,-0.6,1.2,0
182,0.5,-0.6,1.25,0
183,0.5,-0.5,0.95,skip
184,0.5,-0.5,1.0,skip
185,0.5,-0.5,1.05,skip
186,0.5,-0.5,1.1,skip
187,0.5,-0.5,1.15,0
188,0.5,-0.5,1.2,0
189,0.5,-0.5,1.25,0
190,0.5,-0.4,0.95,skip
191,0.5,-0.4,1.0,skip
192,0.5,-0.4,1.05,skip
193,0.5,-0.4,1.1,skip
194,0.5,-0.4,1.15,skip
195,0.5,-0.4,1.2,0
196,0.5,-0.4,1.25,0
197,0.5,-0.3,0.95,skip
198,0.5,-0.3,1.0,skip
199,0.5,-0.3,1.05,skip
200,0.5,-0.3,1.1,skip
201,0.5,-0.3,1.15,0
202,0.5,-0.3,1.2,0
203,0.5,-0.3,1.25,0
204,0.5,-0.2,0.95,0
205,0.5,-0.2,1.0,0
206,0.5,-0.2,1.05,0
207,0.5,-0.2,1.1,0
208,0.5,-0.2,1.15,0
209,0.5,-0.2,1.2,0
210,0.5,-0.2,1.25,0
211,0.5,-0.1,0.95,0
212,0.5,-0.1,1.0,0
213,0.5,-0.1,1.05,0
214,0.5,-0.1,1.1,0
215,0.5,-0.1,1.15,0
216,0.5,-0.1,1.2,0
217,0.5,-0.1,1.25,0
218,0.5,0.05,0.95,0
219,0.5,0.05,1.0,0
220,0.5,0.05,1.05,0
221,0.5,0.05,1.1,0
222,0.5,0.05,1.15,0
223,0.5,0.05,1.2,0
224,0.5,0.05,1.25,0
225,0.55,-0.7,0.95,0
226,0.55,-0.7,1.0,0
227,0.55,-0.7,1.05,0
228,0.55,-0.7,1.1,0
229,0.55,-0.7,1.15,0
230,0.55,-0.7,1.2,0
231,0.55,-0.7,1.25,0
232,0.55,-0.6,0.95,0
233,0.55,-0.6,1.0,0
234,0.55,-0.6,1.05,0
235,0.55,-0.6,1.1,0
236,0.55,-0.6,1.15,0
237,0.55,-0.6,1.2,0
238,0.55,-0.6,1.25,0
239,0.55,-0.5,0.95,skip
240,0.55,-0.5,1.0,skip
241,0.55,-0.5,1.05,skip
242,0.55,-0.5,1.1,0
243,0.55,-0.5,1.15,0
244,0.55,-0.5,1.2,0
245,0.55,-0.5,1.25,0
246,0.55,-0.4,0.95,skip
247,0.55,-0.4,1.0,skip
248,0.55,-0.4,1.05,skip
249,0.55,-0.4,1.1,skip
250,0.55,-0.4,1.15,0
251,0.55,-0.4,1.2,0
252,0.55,-0.4,1.25,0
253,0.55,-0.3,0.95,skip
254,0.55,-0.3,1.0,skip
255,0.55,-0.3,1.05,skip
256,0.55,-0.3,1.1,0
257,0.55,-0.3,1.15,0
258,0.55,-0.3,1.2,0
