candidate,cx,cy,cz,radius,az_deg,ik_col,motion,attempts
current_x050_y-030_z085,0.50,-0.30,0.85,0.40,0,1,1,1
current_x050_y-030_z085,0.50,-0.30,0.85,0.40,180,0,0,0
current_x050_y-030_z085,0.50,-0.30,0.85,0.40,90,0,0,0
current_x050_y-030_z085,0.50,-0.30,0.85,0.40,270,0,0,0
current_x050_y-030_z085,0.50,-0.30,0.85,0.40,30,1,1,1
current_x050_y-030_z085,0.50,-0.30,0.85,0.40,330,1,1,1
current_x050_y-030_z085,0.50,-0.30,0.85,0.40,60,1,1,2
current_x050_y-030_z085,0.50,-0.30,0.85,0.40,300,1,0,2
current_x050_y-030_z085,0.50,-0.30,0.85,0.40,150,0,0,0
current_x050_y-030_z085,0.50,-0.30,0.85,0.40,210,0,0,0
current_x050_y-030_z085,0.50,-0.30,0.85,0.40,120,0,0,0
current_x050_y-030_z085,0.50,-0.30,0.85,0.40,240,1,0,2
current_x050_y-030_z085,0.50,-0.30,0.85,0.50,0,1,1,1
current_x050_y-030_z085,0.50,-0.30,0.85,0.50,180,0,0,0
current_x050_y-030_z085,0.50,-0.30,0.85,0.50,90,0,0,0
current_x050_y-030_z085,0.50,-0.30,0.85,0.50,270,0,0,0
current_x050_y-030_z085,0.50,-0.30,0.85,0.50,30,1,1,1
current_x050_y-030_z085,0.50,-0.30,0.85,0.50,330,1,1,1
current_x050_y-030_z085,0.50,-0.30,0.85,0.50,60,0,0,0
current_x050_y-030_z085,0.50,-0.30,0.85,0.50,300,0,0,0
current_x050_y-030_z085,0.50,-0.30,0.85,0.50,150,0,0,0
current_x050_y-030_z085,0.50,-0.30,0.85,0.50,210,0,0,0
current_x050_y-030_z085,0.50,-0.30,0.85,0.50,120,0,0,0
current_x050_y-030_z085,0.50,-0.30,0.85,0.50,240,1,1,2
current_x050_y-030_z085,0.50,-0.30,0.85,0.60,0,1,0,2
current_x050_y-030_z085,0.50,-0.30,0.85,0.60,180,0,0,0
current_x050_y-030_z085,0.50,-0.30,0.85,0.60,90,0,0,0
current_x050_y-030_z085,0.50,-0.30,0.85,0.60,270,1,1,1
current_x050_y-030_z085,0.50,-0.30,0.85,0.60,30,0,0,0
current_x050_y-030_z085,0.50,-0.30,0.85,0.60,330,1,1,1
current_x050_y-030_z085,0.50,-0.30,0.85,0.60,60,0,0,0
current_x050_y-030_z085,0.50,-0.30,0.85,0.60,300,0,0,0
current_x050_y-030_z085,0.50,-0.30,0.85,0.60,150,0,0,0
current_x050_y-030_z085,0.50,-0.30,0.85,0.60,210,0,0,0
current_x050_y-030_z085,0.50,-0.30,0.85,0.60,120,0,0,0
current_x050_y-030_z085,0.50,-0.30,0.85,0.60,240,1,1,1
ik1_x030_y-015_z065,0.30,-0.15,0.65,0.40,0,1,0,2
ik1_x030_y-015_z065,0.30,-0.15,0.65,0.40,180,1,1,1
ik1_x030_y-015_z065,0.30,-0.15,0.65,0.40,90,1,1,2
ik1_x030_y-015_z065,0.30,-0.15,0.65,0.40,270,1,0,2
ik1_x030_y-015_z065,0.30,-0.15,0.65,0.40,30,1,1,1
ik1_x030_y-015_z065,0.30,-0.15,0.65,0.40,330,0,0,0
ik1_x030_y-015_z065,0.30,-0.15,0.65,0.40,60,1,1,1
ik1_x030_y-015_z065,0.30,-0.15,0.65,0.40,300,0,0,0
ik1_x030_y-015_z065,0.30,-0.15,0.65,0.40,150,1,0,2
ik1_x030_y-015_z065,0.30,-0.15,0.65,0.40,210,1,0,2
ik1_x030_y-015_z065,0.30,-0.15,0.65,0.40,120,0,0,0
ik1_x030_y-015_z065,0.30,-0.15,0.65,0.40,240,1,0,2
ik1_x030_y-015_z065,0.30,-0.15,0.65,0.50,0,1,0,2
ik1_x030_y-015_z065,0.30,-0.15,0.65,0.50,180,1,0,2
ik1_x030_y-015_z065,0.30,-0.15,0.65,0.50,90,0,0,0
ik1_x030_y-015_z065,0.30,-0.15,0.65,0.50,270,1,0,2
ik1_x030_y-015_z065,0.30,-0.15,0.65,0.50,30,1,0,2
ik1_x030_y-015_z065,0.30,-0.15,0.65,0.50,330,1,0,0
ik1_x030_y-015_z065,0.30,-0.15,0.65,0.50,60,1,0,0
ik1_x030_y-015_z065,0.30,-0.15,0.65,0.50,300,1,0,0
ik1_x030_y-015_z065,0.30,-0.15,0.65,0.50,150,0,0,0
ik1_x030_y-015_z065,0.30,-0.15,0.65,0.50,210,1,0,0
ik1_x030_y-015_z065,0.30,-0.15,0.65,0.50,120,1,0,0
ik1_x030_y-015_z065,0.30,-0.15,0.65,0.50,240,1,0,0
